lat,lon,alt,speed
41.97215295833333,-85.69313908,10648.288,129.1422
41.97216216,-85.693070655,10648.822,129.1422
41.97217136,-85.69300223333333,10649.353,129.1422
41.972180565,-85.69293381,10649.893,129.1422
41.97218976166667,-85.692865405,10650.422,129.1422
41.972198973333334,-85.69279698666666,10650.954,129.1422
41.97220818666667,-85.69272858,10651.49,129.0271
41.97221739333333,-85.692660185,10652.022,129.1422
41.972226588333335,-85.69259175666667,10652.552,129.1422
41.9722358,-85.69252334333333,10653.081,129.1422
41.97224501666667,-85.69245493,10653.617,129.1422
41.972254238333335,-85.69238652166666,10654.151,129.1422
41.97226343333333,-85.69231810666666,10654.681,129.1422
41.97227262166667,-85.69224968833333,10655.212,129.1422
41.97228183666667,-85.69218128,10655.744,129.1422
41.972291045,-85.69211287333333,10656.274,129.1422
